"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01001","5","10","71","0","2022","3","",958,9136,9129,9135,104387003,10981709,146054,879,"",0.97,0.91,0.91,0.92,0.88,1.03,1.01,0.97,"",40,4.4,407,4.7,530,6.2,551,6.4,10756851,11.5,375594,3.5,-40702,-21.8,45,5.4
"01003","0","10","70","0","2022","3","",7842,81768,80376,79584,988418684,104125768,1287866,944,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",580,8.0,2582,3.3,2953,3.8,2661,3.5,124437676,14.4,6224725,6.4,-231125,-15.2,90,10.5
"01003","1","10","71","0","2022","3","",34,379,367,378,6526095,0,0,1340,"",0.83,0.24,0.24,0.25,0.25,0.00,0.00,1.04,"",0,0.0,-6,-1.6,-21,-5.4,-21,-5.3,782890,13.6,0,0.0,0,0.0,209,18.5
"01003","2","10","71","0","2022","3","",38,1015,1014,1043,13701614,0,0,1029,"",0.79,0.42,0.42,0.43,0.42,0.00,0.00,0.99,"",1,2.7,-68,-6.3,-42,-4.0,-85,-7.5,1233601,9.9,0,0.0,0,0.0,148,16.8
"01003","3","10","71","0","2022","3","",91,8225,8319,8658,110728706,1018862,7990,1014,"",0.79,1.23,1.20,1.17,1.44,0.58,1.13,1.20,"",1,1.1,-228,-2.7,-211,-2.5,-95,-1.1,8020525,7.8,328668,47.6,-337,-4.0,93,10.1
"01003","5","10","71","0","2022","3","",7679,72149,70676,69505,857462269,103106906,1279876,932,"",1.01,1.02,1.02,1.02,1.01,1.02,1.00,0.99,"",578,8.1,2884,4.2,3227,4.8,2862,4.3,114400660,15.4,5896057,6.1,-230788,-15.3,89,10.6
"01005","0","10","70","0","2022","3","",586,7908,7930,7913,86154472,8134175,105736,837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-6,-1.0,261,3.4,224,2.9,161,2.1,8866532,11.5,586742,7.8,-19503,-15.6,65,8.4
"01005","1","10","71","0","2022","3","",9,49,48,48,828032,0,0,1318,"",2.93,0.32,0.32,0.32,0.37,0.00,0.00,1.16,"",0,0.0,-2,-3.9,-11,-18.6,-4,-7.7,57881,7.5,0,0.0,0,0.0,221,20.1
"01005","2","10","71","0","2022","3","",19,465,460,453,6243474,0,0,1046,"",5.27,1.97,1.95,1.89,2.19,0.00,0.00,1.13,"",0,0.0,-113,-19.6,-120,-20.7,-99,-17.9,-383096,-5.8,0,0.0,0,0.0,152,17.0
"01005","3","10","71","0","2022","3","",30,964,973,957,10228511,75978,619,816,"",3.46,1.49,1.43,1.30,1.52,0.56,1.07,1.09,"",-1,-3.2,9,0.9,-5,-0.5,0,0.0,216399,2.2,-4624,-5.7,-1334,-68.3,17,2.1
"01005","5","10","71","0","2022","3","",528,6430,6449,6455,68854455,8058197,105117,822,"",0.93,0.94,0.94,0.95,0.93,1.02,1.00,0.98,"",-5,-0.9,367,6.1,360,5.9,264,4.3,8975348,15.0,591366,7.9,-18169,-14.7,69,9.2
"01007","0","10","70","0","2022","3","",406,4756,4755,4871,59511808,4298931,56325,955,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,3.6,19,0.4,36,0.8,124,2.6,6536399,12.3,261539,6.5,-5990,-9.6,94,10.9
"01007","1","10","71","0","2022","3","",10,64,61,61,1194296,0,0,1482,"",4.70,0.70,0.67,0.66,0.77,0.00,0.00,1.14,"",0,0.0,-5,-7.2,-7,-10.3,-6,-9.0,103859,9.5,0,0.0,0,0.0,248,20.1
"01007","2","10","71","0","2022","3","",13,176,171,177,2557864,0,0,1126,"",5.20,1.24,1.21,1.20,1.30,0.00,0.00,1.07,"",0,0.0,-47,-21.1,-49,-22.3,-39,-18.1,-220069,-7.9,0,0.0,0,0.0,153,15.7
"01007","3","10","71","0","2022","3","",31,978,1004,1034,10581894,50071,351,810,"",5.17,2.51,2.45,2.27,2.28,0.69,1.13,0.95,"",0,0.0,32,3.4,27,2.8,65,6.7,1128582,11.9,4112,8.9,-178,-33.6,56,7.4
"01007","5","10","71","0","2022","3","",352,3538,3519,3599,45177754,4248860,55974,978,"",0.89,0.86,0.86,0.86,0.88,1.01,1.00,1.02,"",14,4.1,39,1.1,65,1.9,104,3.0,5524027,13.9,257427,6.4,-5812,-9.4,102,11.6
"01009","0","10","70","0","2022","3","",903,8681,8719,8796,95896288,7605188,93717,845,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",34,3.9,242,2.9,269,3.2,266,3.1,9725231,11.3,55227,0.7,-21998,-19.0,63,8.1
"01009","1","10","71","0","2022","3","",10,79,81,82,1298676,0,0,1238,"",2.11,0.47,0.49,0.49,0.52,0.00,0.00,1.08,"",0,0.0,-7,-8.1,14,20.9,5,6.5,216329,20.0,0,0.0,0,0.0,152,14.0
"01009","2","10","71","0","2022","3","",11,146,147,148,1784067,0,0,934,"",1.98,0.56,0.57,0.55,0.56,0.00,0.00,1.00,"",0,0.0,-12,-7.6,-9,-5.8,-7,-4.5,313903,21.4,0,0.0,0,0.0,211,29.2
"01009","3","10","71","0","2022","3","",44,1755,1795,1915,19910877,105387,795,841,"",3.30,2.47,2.39,2.33,2.67,0.83,1.54,1.11,"",0,0.0,116,7.1,89,5.2,65,3.5,1847137,10.2,15532,17.3,-325,-29.0,39,4.9
"01009","5","10","71","0","2022","3","",838,6701,6696,6651,72902668,7499801,92922,839,"",0.95,0.89,0.89,0.88,0.88,1.01,1.00,0.99,"",34,4.2,145,2.2,175,2.7,203,3.1,7347862,11.2,39695,0.5,-21673,-18.9,64,8.3
"01011","0","10","70","0","2022","3","",209,2698,2689,2683,32600251,2809043,33399,932,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,7.2,-107,-3.8,-120,-4.3,-111,-4.0,1877112,6.1,336098,13.6,-21493,-39.2,89,10.6
"01011","1","10","71","0","2022","3","",6,32,30,28,499062,0,0,1280,"",5.48,0.62,0.59,0.55,0.59,0.00,0.00,1.01,"",0,0.0,3,10.3,0,0.0,-1,-3.4,75699,17.9,0,0.0,0,0.0,170,15.3
"01011","2","10","71","0","2022","3","",10,183,179,177,2604461,0,0,1115,"",7.77,2.27,2.23,2.18,2.42,0.00,0.00,1.08,"",0,0.0,-26,-12.4,-41,-18.6,-40,-18.4,-406924,-13.5,0,0.0,0,0.0,39,3.6
"01011","3","10","71","0","2022","3","",15,312,304,308,3348974,0,0,836,"",4.86,1.41,1.31,1.23,1.32,0.00,0.00,1.00,"",0,0.0,-1,-0.3,-16,-5.0,-6,-1.9,143580,4.5,-1163,-100.0,-17,-100.0,55,7.0
"01011","5","10","71","0","2022","3","",178,2171,2176,2170,26147754,2809043,33399,926,"",0.87,0.93,0.94,0.94,0.93,1.03,1.01,0.99,"",14,8.5,-83,-3.7,-63,-2.8,-64,-2.9,2064757,8.6,337261,13.6,-21476,-39.1,100,12.1
"01013","0","10","70","0","2022","3","",537,6736,6720,6663,74704141,9008060,131333,857,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",27,5.3,290,4.5,268,4.2,351,5.6,11631769,18.4,1996197,28.5,5257,4.2,99,13.1
"01013","1","10","71","0","2022","3","",6,37,39,37,564430,0,0,1153,"",2.13,0.29,0.30,0.29,0.29,0.00,0.00,0.99,"",0,0.0,2,5.7,1,2.6,-4,-9.8,104473,22.7,0,0.0,0,0.0,222,23.8
"01013","2","10","71","0","2022","3","",12,89,88,88,1255492,0,0,1093,"",3.63,0.44,0.44,0.44,0.51,0.00,0.00,1.16,"",0,0.0,-4,-4.3,-6,-6.4,-4,-4.3,176120,16.3,0,0.0,0,0.0,200,22.4
"01013","3","10","71","0","2022","3","",22,742,750,705,8792466,23347,164,924,"",2.77,1.35,1.30,1.13,1.51,0.15,0.23,1.21,"",-1,-4.3,40,5.7,10,1.4,7,1.0,1385502,18.7,5411,30.2,-42,-20.4,125,15.6
"01013","5","10","71","0","2022","3","",497,5868,5843,5833,64091753,8984713,131169,843,"",0.95,1.00,1.01,1.02,0.99,1.02,1.01,0.98,"",28,6.0,252,4.5,263,4.7,352,6.4,9965674,18.4,1990786,28.5,5299,4.2,94,12.6
"01015","0","10","70","0","2022","3","",2734,43742,43870,44096,517739841,40505184,509584,907,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",112,4.3,272,0.6,360,0.8,780,1.8,26213687,5.3,1209019,3.1,-113283,-18.2,36,4.1
"01015","1","10","71","0","2022","3","",47,3561,3549,3534,55561586,0,0,1205,"",3.28,4.23,4.25,4.22,4.14,0.00,0.00,0.98,"",0,0.0,-512,-12.6,-515,-12.7,-497,-12.3,-11647321,-17.3,0,0.0,0,0.0,-70,-5.5
"01015","2","10","71","0","2022","3","",28,1545,1545,1747,20472500,0,0,977,"",1.66,1.18,1.18,1.31,1.20,0.00,0.00,0.98,"",-1,-3.4,-5,-0.3,4,0.3,158,9.9,1698505,9.0,0,0.0,0,0.0,51,5.5
"01015","3","10","71","0","2022","3","",74,6232,6379,6269,76781952,113958,1685,939,"",1.83,1.74,1.69,1.52,1.90,0.17,0.60,1.16,"",0,0.0,57,0.9,70,1.1,94,1.5,3734821,5.1,-122997,-51.9,-3638,-68.3,36,4.0
"01015","5","10","71","0","2022","3","",2585,32404,32397,32546,364923803,40391226,507899,865,"",0.97,0.85,0.85,0.86,0.82,1.02,1.00,0.95,"",113,4.6,732,2.3,801,2.5,1025,3.3,32427682,9.8,1332016,3.4,-109645,-17.8,56,6.9
"01017","0","10","70","0","2022","3","",713,8550,8577,8503,99075841,8385547,125943,892,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",30,4.4,228,2.7,54,0.6,125,1.5,14571884,17.2,-138228,-1.6,-29838,-19.2,119,15.4
"01017","1","10","71","0","2022","3","",6,51,52,50,842747,0,0,1271,"",1.61,0.31,0.32,0.31,0.33,0.00,0.00,1.05,"",0,0.0,3,6.2,4,8.3,2,4.2,165373,24.4,0,0.0,0,0.0,185,17.0
"01017","2","10","71","0","2022","3","",13,133,127,130,1673437,0,0,990,"",2.96,0.52,0.50,0.50,0.51,0.00,0.00,1.01,"",0,0.0,-2,-1.5,-9,-6.6,-7,-5.1,358042,27.2,0,0.0,0,0.0,246,33.1
"01017","3","10","71","0","2022","3","",48,1511,1556,1505,18329224,57479,656,925,"",4.56,2.16,2.11,1.90,2.38,0.41,0.95,1.16,"",-9,-15.8,29,2.0,10,0.6,-21,-1.4,1425169,8.4,18741,48.4,125,23.5,68,7.9
"01017","5","10","71","0","2022","3","",646,6855,6842,6818,78230433,8328068,125287,880,"",0.93,0.92,0.92,0.94,0.91,1.02,1.00,0.99,"",39,6.4,198,3.0,49,0.7,151,2.3,12623300,19.2,-156969,-1.8,-29963,-19.3,127,16.9
"01019","0","10","70","0","2022","3","",460,5169,5163,5223,55252122,4776044,61406,820,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",25,5.7,-84,-1.6,-17,-0.3,-40,-0.8,3786362,7.4,-750211,-13.6,-34901,-36.2,63,8.3
"01019","1","10","71","0","2022","3","",10,42,43,48,671940,0,0,1166,"",4.15,0.42,0.44,0.48,0.47,0.00,0.00,1.05,"",0,0.0,-4,-8.7,-1,-2.3,3,6.7,91180,15.7,0,0.0,0,0.0,173,17.4
"01019","2","10","71","0","2022","3","",11,76,78,80,1125801,0,0,1110,"",3.89,0.49,0.51,0.51,0.62,0.00,0.00,1.23,"",0,0.0,-8,-9.5,-6,-7.1,-1,-1.2,202858,22.0,0,0.0,0,0.0,255,29.8
"01019","3","10","71","0","2022","3","",24,1038,1066,1102,12146308,43690,341,874,"",3.53,2.45,2.40,2.26,2.82,0.55,1.01,1.19,"",0,0.0,-38,-3.5,-47,-4.2,-25,-2.2,87218,0.7,11888,37.4,-43,-11.2,35,4.2
"01019","5","10","71","0","2022","3","",415,4013,3976,3993,41308073,4732354,61065,796,"",0.93,0.89,0.89,0.89,0.87,1.02,1.00,0.97,"",25,6.4,-34,-0.8,37,0.9,-17,-0.4,3405106,9.0,-762099,-13.9,-34858,-36.3,67,9.2
"01021","0","10","70","0","2022","3","",859,8964,8911,9021,102199367,9338802,116498,877,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,2.4,-79,-0.9,-146,-1.6,-75,-0.8,4162605,4.2,1102553,13.4,-7958,-6.4,45,5.4
"01021","1","10","71","0","2022","3","",7,58,55,56,856320,0,0,1169,"",1.56,0.34,0.32,0.33,0.32,0.00,0.00,0.98,"",0,0.0,-6,-9.4,-9,-14.1,-7,-11.1,99803,13.2,0,0.0,0,0.0,255,27.9
"01021","2","10","71","0","2022","3","",14,249,244,247,3135909,0,0,978,"",2.65,0.93,0.92,0.90,0.93,0.00,0.00,1.01,"",0,0.0,-6,-2.4,-8,-3.2,-4,-1.6,282664,9.9,0,0.0,0,0.0,109,12.5
"01021","3","10","71","0","2022","3","",35,1491,1444,1568,16692356,166408,1277,855,"",2.76,2.03,1.88,1.86,2.10,1.06,1.99,1.09,"",-2,-5.4,-21,-1.4,-24,-1.6,-20,-1.3,1127413,7.2,-9367,-5.3,-858,-40.2,69,8.8
"01021","5","10","71","0","2022","3","",803,7166,7168,7150,81514782,9172394,115221,876,"",0.96,0.92,0.93,0.92,0.92,1.01,1.00,1.00,"",22,2.8,-46,-0.6,-105,-1.4,-44,-0.6,2652725,3.4,1111920,13.8,-7100,-5.8,37,4.4
"01023","0","10","70","0","2022","3","",362,3293,3295,3229,46475413,3300937,54323,1093,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,3.7,-225,-6.4,-134,-3.9,-196,-5.7,-2295434,-4.7,571812,21.0,5702,11.7,8,0.7
"01023","1","10","71","0","2022","3","",8,26,26,24,343866,0,0,1044,"",4.22,0.41,0.41,0.39,0.29,0.00,0.00,0.70,"",0,0.0,-1,-3.7,-1,-3.7,0,0.0,65321,23.5,0,0.0,0,0.0,220,26.7
"01023","2","10","71","0","2022","3","",11,34,34,41,352420,0,0,746,"",4.94,0.35,0.35,0.42,0.23,0.00,0.00,0.62,"",0,0.0,-30,-46.9,-24,-41.4,-25,-37.9,-154192,-30.4,0,0.0,0,0.0,124,19.9
"01023","3","10","71","0","2022","3","",23,324,323,341,3410305,19552,491,797,"",4.30,1.20,1.14,1.13,0.94,0.35,1.64,0.82,"",0,0.0,-15,-4.4,-15,-4.4,-13,-3.7,72359,2.2,-8098,-29.3,-128,-20.7,50,6.7
"01023","5","10","71","0","2022","3","",320,2909,2912,2823,42368822,3281385,53832,1131,"",0.91,1.02,1.02,1.02,1.06,1.02,1.00,1.04,"",13,4.2,-179,-5.8,-94,-3.1,-158,-5.3,-2278922,-5.1,579910,21.5,5830,12.1,-4,-0.4
"01025","0","10","70","0","2022","3","",748,8070,8076,8142,101453072,7189453,90576,964,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",41,5.8,8,0.1,-10,-0.1,-20,-0.2,7190932,7.6,8730,0.1,-24291,-21.1,69,7.7
"01025","1","10","71","0","2022","3","",13,61,62,59,1072118,0,0,1359,"",3.32,0.39,0.40,0.38,0.41,0.00,0.00,1.04,"",0,0.0,-6,-9.0,-4,-6.1,-9,-13.2,98649,10.1,0,0.0,0,0.0,241,21.6
"01025","2","10","71","0","2022","3","",16,301,297,310,4193998,0,0,1066,"",3.48,1.25,1.23,1.26,1.25,0.00,0.00,1.00,"",0,0.0,-8,-2.6,-5,-1.7,-2,-0.6,233634,5.9,0,0.0,0,0.0,76,7.7
"01025","3","10","71","0","2022","3","",37,1276,1290,1324,14497521,239975,1680,860,"",3.35,1.93,1.86,1.74,1.84,1.99,3.38,1.00,"",0,0.0,28,2.2,31,2.5,26,2.0,923703,6.8,36184,17.8,-728,-30.2,37,4.5
"01025","5","10","71","0","2022","3","",682,6432,6427,6449,81689435,6949478,88896,976,"",0.94,0.92,0.92,0.92,0.93,0.99,0.99,1.01,"",41,6.4,-6,-0.1,-32,-0.5,-35,-0.5,5934946,7.8,-27454,-0.4,-23563,-21.0,74,8.2
"01027","0","10","70","0","2022","3","",236,4449,4382,4522,47165151,4423615,53467,815,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,1.3,242,5.8,210,5.0,362,8.7,4734438,11.2,602266,15.8,-7298,-12.0,34,4.4
"01027","1","10","71","0","2022","3","",6,38,37,39,593837,0,0,1202,"",4.85,0.44,0.44,0.45,0.49,0.00,0.00,1.09,"",0,0.0,-5,-11.6,-6,-14.0,1,2.6,62567,11.8,0,0.0,0,0.0,213,21.5
"01027","2","10","71","0","2022","3","",9,35,34,34,397045,0,0,890,"",6.20,0.26,0.26,0.25,0.25,0.00,0.00,0.99,"",-1,-10.0,-20,-36.4,-20,-37.0,-20,-37.0,-102105,-20.5,0,0.0,0,0.0,183,25.9
"01027","3","10","71","0","2022","3","",17,801,822,829,8197437,43874,308,771,"",4.88,2.20,2.18,1.96,2.23,0.59,1.05,1.06,"",0,0.0,17,2.2,17,2.1,30,3.8,1276103,18.4,-1188,-2.6,-267,-46.4,102,15.2
"01027","5","10","71","0","2022","3","",204,3575,3489,3620,37976832,4379741,53159,820,"",0.89,0.92,0.92,0.93,0.93,1.02,1.00,1.01,"",4,2.0,250,7.5,219,6.7,351,10.7,3497873,10.1,603454,16.0,-7031,-11.7,13,1.6
"01029","0","10","70","0","2022","3","",281,2281,2317,2363,30844220,2596655,41144,1023,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",26,10.2,43,1.9,44,1.9,64,2.8,2686611,9.5,70104,2.8,-6929,-14.4,69,7.2
"01029","1","10","71","0","2022","3","",8,49,50,48,882812,0,0,1386,"",5.43,1.12,1.13,1.07,1.10,0.00,0.00,1.00,"",0,0.0,0,0.0,2,4.2,1,2.1,139759,18.8,0,0.0,0,0.0,195,16.4
"01029","2","10","71","0","2022","3","",11,118,119,117,1402055,0,0,914,"",6.36,1.73,1.72,1.63,1.37,0.00,0.00,0.81,"",0,0.0,-31,-20.8,-29,-19.6,-29,-19.9,-256160,-15.4,0,0.0,0,0.0,50,5.8
"01029","3","10","71","0","2022","3","",30,517,525,517,5768705,115727,809,854,"",7.23,2.77,2.63,2.34,2.40,2.66,3.58,0.93,"",-1,-3.2,-81,-13.5,-88,-14.4,-91,-15.0,-475082,-7.6,-22014,-16.0,-774,-48.9,62,7.8
"01029","5","10","71","0","2022","3","",232,1597,1623,1681,22790648,2480928,40335,1073,"",0.85,0.81,0.81,0.83,0.86,0.98,0.99,1.05,"",27,13.2,155,10.7,159,10.9,183,12.2,3278094,16.8,92118,3.9,-6155,-13.2,51,5.0
"01031","0","10","70","0","2022","3","",1248,15829,16528,16583,184322250,18054712,209927,869,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",93,8.1,-853,-5.1,-231,-1.4,-117,-0.7,15943666,9.5,-273912,-1.5,-88322,-29.6,94,12.1
"01031","1","10","71","0","2022","3","",16,241,252,252,4351545,0,0,1348,"",2.45,0.79,0.80,0.80,0.91,0.00,0.00,1.14,"",0,0.0,-38,-13.6,-20,-7.4,-19,-7.0,-504097,-10.4,0,0.0,0,0.0,-15,-1.1
"01031","2","10","71","0","2022","3","",21,431,434,472,5428720,0,0,937,"",2.73,0.91,0.88,0.94,0.89,0.00,0.00,0.98,"",0,0.0,10,2.4,9,2.1,10,2.2,442658,8.9,0,0.0,0,0.0,57,6.5
"01031","3","10","71","0","2022","3","",43,1842,1941,1888,21806285,128004,1210,887,"",2.33,1.42,1.36,1.22,1.52,0.42,1.05,1.14,"",1,2.4,-78,-4.1,-83,-4.1,-68,-3.5,163230,0.8,-4398,-3.3,-313,-20.6,40,4.7
"01031","5","10","71","0","2022","3","",1168,13315,13901,13971,152735700,17926708,208717,856,"",0.96,0.97,0.97,0.98,0.96,1.02,1.00,0.99,"",92,8.6,-747,-5.3,-137,-1.0,-40,-0.3,15841875,11.6,-269514,-1.5,-88009,-29.7,106,14.1
"01033","0","10","70","0","2022","3","",1489,24111,24090,24267,345866479,23316202,340111,1101,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",52,3.6,918,4.0,676,2.9,729,3.1,47261784,15.8,856952,3.8,-81125,-19.3,119,12.1
"01033","1","10","71","0","2022","3","",15,638,639,655,19228931,0,0,2297,"",1.92,1.38,1.39,1.42,2.14,0.00,0.00,1.54,"",0,0.0,17,2.7,14,2.2,33,5.3,1696920,9.7,0,0.0,0,0.0,131,6.0
"01033","2","10","71","0","2022","3","",17,592,591,654,7275804,0,0,914,"",1.86,0.82,0.82,0.89,0.64,0.00,0.00,0.75,"",-1,-5.6,-25,-4.1,-29,-4.7,9,1.4,400462,5.8,0,0.0,0,0.0,71,8.4
"01033","3","10","71","0","2022","3","",49,3295,3346,3381,45790463,124439,1182,1054,"",2.23,1.67,1.61,1.49,1.70,0.32,0.63,1.07,"",0,0.0,43,1.3,38,1.1,26,0.8,3018495,7.1,-3296,-2.6,-288,-19.6,58,5.8
"01033","5","10","71","0","2022","3","",1408,19586,19514,19577,273571281,23191763,338929,1076,"",0.97,0.93,0.94,0.94,0.92,1.02,1.00,0.98,"",53,3.9,883,4.7,653,3.5,661,3.5,42145907,18.2,860248,3.9,-80837,-19.3,130,13.7
"01035","0","10","70","0","2022","3","",279,3150,3129,3161,35410446,2867915,37241,866,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,3.7,-136,-4.1,-177,-5.4,-84,-2.6,1348491,4.0,-192253,-6.3,-16608,-30.8,67,8.4
"01035","1","10","71","0","2022","3","",5,23,24,27,337519,0,0,1053,"",3.42,0.38,0.40,0.45,0.37,0.00,0.00,0.89,"",0,0.0,1,4.5,3,14.3,5,22.7,49795,17.3,0,0.0,0,0.0,31,3.0
"01035","2","10","71","0","2022","3","",12,153,140,150,2127470,0,0,1108,"",6.99,1.63,1.50,1.56,1.82,0.00,0.00,1.16,"",0,0.0,-14,-8.4,-30,-17.6,-16,-9.6,103810,5.1,0,0.0,0,0.0,180,19.4
"01035","3","10","71","0","2022","3","",22,501,496,495,5036885,17757,125,779,"",5.34,1.94,1.84,1.68,1.83,0.37,0.61,1.01,"",1,4.8,-10,-2.0,-22,-4.2,-8,-1.6,160960,3.3,1927,12.2,-57,-31.3,45,6.1
"01035","5","10","71","0","2022","3","",240,2473,2469,2489,27908572,2850158,37116,867,"",0.88,0.90,0.91,0.92,0.91,1.02,1.00,1.00,"",9,3.9,-113,-4.4,-128,-4.9,-65,-2.5,1033926,3.8,-194180,-6.4,-16551,-30.8,65,8.1
"01037","0","10","70","0","2022","3","",154,1433,1443,1455,17997140,1902682,38574,959,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,3.4,121,9.2,148,11.4,145,11.1,3925165,27.9,912337,92.1,21001,119.5,130,15.7
"01037","1","10","71","0","2022","3","",6,16,14,15,237173,0,0,1216,"",7.43,0.58,0.51,0.54,0.51,0.00,0.00,0.93,"",0,0.0,1,6.7,-2,-12.5,-1,-6.2,46720,24.5,0,0.0,0,0.0,281,30.1
