Gross Output by Industry
Gross Output by Industry
"Last Revised on: March 30, 2023"
37,"        Food and beverage stores",282.5,287.4,283.9,282.6,287.4,294.1,300.2,307.8,311.6,317.0,322.2,328.9
38,"        General merchandise stores",268.8,262.9,273.3,272.3,289.4,290.7,289.5,292.0,294.5,295.4,300.5,302.6
39,"        Other retail",1111.6,1058.4,1249.1,1251.4,1342.6,1396.1,1409.5,1443.9,1497.0,1545.6,1563.1,1551.6
40,"    Transportation and warehousing",1291.0,998.4,1132.6,1218.5,1295.6,1402.1,1509.2,1615.3,1696.1,1803.7,1823.8,1795.6
41,"        Air transportation",201.8,58.3,92.5,107.4,122.4,170.6,218.7,240.3,242.6,301.0,317.2,321.1
42,"        Rail transportation",81.6,64.6,73.6,78.2,80.0,84.1,84.7,88.7,91.2,97.6,99.8,96.3
43,"        Water transportation",51.9,33.3,33.2,36.0,38.9,40.2,42.7,56.6,58.8,64.0,66.0,57.1
44,"        Truck transportation",407.7,349.8,397.8,414.6,434.9,463.6,484.8,520.7,552.9,576.2,573.1,556.5
45,"        Transit and ground passenger transportation",80.4,45.5,47.8,60.1,58.2,67.3,76.1,78.1,83.0,86.8,89.8,96.5
46,"        Pipeline transportation",59.7,54.3,56.1,55.2,64.8,59.4,63.4,65.1,67.0,70.8,72.5,72.8
47,"        Other transportation and support activities",255.0,250.8,274.3,302.8,321.5,336.6,349.6,369.8,396.1,392.4,381.5,364.5
48,"        Warehousing and storage",152.9,141.9,157.3,164.2,174.8,180.3,189.2,195.9,204.5,214.8,224.0,230.7
49,"    Information",1964.6,1886.7,1982.8,2075.3,2151.1,2240.3,2288.3,2334.0,2411.5,2458.8,2478.2,2481.0
50,"        Publishing industries, except internet (includes software)",418.8,414.1,433.9,452.1,473.7,493.7,506.9,518.3,544.2,553.9,568.4,575.8
51,"        Motion picture and sound recording industries",168.5,126.4,133.8,147.6,149.7,157.2,174.7,191.3,184.7,201.1,204.1,189.6
52,"        Broadcasting and telecommunications",886.3,859.3,887.6,913.7,917.9,929.2,938.6,944.9,968.4,964.7,964.8,970.9
53,"        Data processing, internet publishing, and other information services",491.1,486.9,527.5,561.9,609.8,660.2,668.1,679.6,714.3,739.1,740.8,744.6
54,"    Finance, insurance, real estate, rental, and leasing",7275.7,7091.4,7307.2,7444.7,7618.0,7727.6,7916.5,8034.4,8124.9,8201.8,8360.3,8465.0
55,"        Finance and insurance",3149.9,3157.5,3219.5,3285.9,3418.6,3419.6,3490.2,3494.7,3472.7,3496.2,3586.5,3632.0
56,"            Federal Reserve banks, credit intermediation, and related activities",1015.0,1030.4,1034.4,1047.8,1077.5,1067.9,1075.8,1071.3,1071.0,1105.7,1135.4,1180.5
57,"            Securities, commodity contracts, and investments",674.5,685.4,669.0,730.7,786.0,767.9,782.8,817.7,765.8,775.5,794.9,829.2
58,"            Insurance carriers and related activities",1306.2,1282.6,1343.3,1330.5,1370.0,1391.8,1436.0,1408.4,1442.3,1433.9,1478.3,1449.2
59,"            Funds, trusts, and other financial vehicles",154.3,159.1,172.7,176.9,185.1,192.0,195.7,197.2,193.7,181.1,177.8,173.2
60,"        Real estate and rental and leasing",4125.7,3933.9,4087.7,4158.9,4199.4,4308.0,4426.3,4539.8,4652.1,4705.6,4773.8,4833.0
61,"            Real estate",3722.2,3617.0,3715.6,3784.1,3833.4,3903.3,4012.2,4127.5,4219.9,4270.1,4327.9,4398.5
62,"                Housing",2294.6,2314.5,2333.2,2350.8,2368.2,2391.4,2418.8,2454.1,2493.6,2540.3,2599.3,2662.0
63,"                Other real estate",1427.6,1302.5,1382.4,1433.3,1465.2,1511.9,1593.5,1673.4,1726.2,1729.7,1728.5,1736.5
64,"            Rental and leasing services and lessors of intangible assets",403.6,316.9,372.1,374.8,366.0,404.7,414.0,412.3,432.3,435.5,445.9,434.5
65,"    Professional and business services",4475.8,4114.2,4359.5,4592.2,4715.5,4899.6,5045.8,5197.2,5345.4,5463.7,5549.9,5608.2
66,"        Professional, scientific, and technical services",2608.7,2395.3,2553.4,2678.0,2732.7,2818.9,2901.7,2975.8,3059.4,3120.9,3198.0,3262.2
67,"            Legal services",383.6,364.5,373.9,405.7,421.1,407.9,427.9,434.3,447.6,447.1,443.5,438.9
68,"            Computer systems design and related services",524.0,503.5,509.6,524.0,526.8,555.3,564.4,566.7,574.7,587.8,606.2,611.9
69,"            Miscellaneous professional, scientific, and technical services",1701.1,1527.4,1669.9,1748.3,1784.8,1855.7,1909.5,1974.7,2037.1,2086.0,2148.2,2211.4
70,"        Management of companies and enterprises",673.2,658.5,668.7,712.3,715.4,742.3,723.5,751.3,761.4,764.0,774.7,785.4
71,"        Administrative and waste management services",1193.9,1060.3,1137.4,1201.9,1267.3,1338.3,1420.6,1470.1,1524.5,1578.7,1577.2,1560.6
72,"            Administrative and support services",1075.8,954.4,1022.7,1083.5,1145.6,1214.4,1291.5,1335.5,1387.2,1435.0,1430.7,1412.1
73,"            Waste management and remediation services",118.1,105.9,114.7,118.4,121.7,123.9,129.1,134.6,137.3,143.7,146.6,148.5
74,"    Educational services, health care, and social assistance",3025.8,2708.0,2959.7,3045.8,3066.2,3153.5,3217.8,3276.0,3315.8,3351.8,3415.9,3461.6
75,"        Educational services",386.9,341.5,364.1,361.8,373.4,388.0,398.2,407.0,416.5,423.6,436.0,438.0
76,"        Health care and social assistance",2638.9,2366.5,2595.6,2684.0,2692.8,2765.5,2819.6,2869.0,2899.3,2928.2,2979.8,3023.6
77,"            Ambulatory health care services",1166.1,978.6,1135.8,1186.6,1185.8,1216.1,1240.6,1257.1,1270.5,1284.5,1292.1,1314.7
78,"            Hospitals",967.5,916.8,960.2,986.5,1000.4,1025.9,1050.2,1072.4,1080.6,1083.7,1107.1,1124.8
79,"            Nursing and residential care facilities",264.7,262.6,258.3,261.9,256.3,263.8,265.7,271.5,278.8,284.6,294.5,299.6
80,"            Social assistance",240.5,208.6,241.3,249.0,250.2,259.7,263.1,268.0,269.5,275.4,286.2,284.5
81,"    Arts, entertainment, recreation, accommodation, and food services",1473.5,844.8,1204.5,1232.7,1365.9,1595.4,1755.8,1807.8,1834.3,1934.3,2001.7,2073.6
82,"        Arts, entertainment, and recreation",337.8,162.5,228.2,248.4,280.6,308.8,364.7,385.9,392.7,407.9,440.5,457.8
83,"            Performing arts, spectator sports, museums, and related activities",196.4,97.9,116.3,135.0,151.9,164.7,215.9,232.6,238.6,248.0,276.5,285.1
84,"            Amusements, gambling, and recreation industries",141.4,64.5,111.9,113.4,128.7,144.1,148.8,153.4,154.1,159.9,164.0,172.7
85,"        Accommodation and food services",1135.7,682.3,976.3,984.3,1085.3,1286.6,1391.1,1421.9,1441.6,1526.4,1561.2,1615.9
86,"            Accommodation",245.2,95.5,170.3,171.2,190.4,252.2,296.4,303.8,303.7,315.7,322.3,327.2
87,"            Food services and drinking places",890.5,586.9,806.1,813.0,894.9,1034.4,1094.7,1118.1,1137.9,1210.7,1238.9,1288.7
88,"    Other services, except government",764.0,629.9,721.6,728.2,723.0,753.0,767.6,780.6,799.5,802.6,835.0,864.2
89,Government,4172.7,4129.2,4168.4,4205.2,4364.5,4432.3,4498.0,4575.5,4671.0,4816.0,4887.2,4953.6
90,"    Federal",1271.0,1360.2,1321.6,1334.7,1422.2,1411.4,1390.4,1411.8,1420.4,1451.7,1482.4,1496.3
91,"        General government",1183.1,1273.7,1231.6,1244.0,1329.7,1318.7,1298.9,1319.1,1324.5,1352.5,1381.2,1395.8
92,"            National defense",727.5,721.3,728.1,747.2,742.8,746.1,745.7,742.0,740.6,759.1,776.6,785.9
93,"            Nondefense",455.6,552.4,503.5,496.8,586.9,572.6,553.2,577.1,583.9,593.3,604.6,609.9
94,"        Government enterprises",87.8,86.5,90.0,90.7,92.5,92.6,91.5,92.8,95.9,99.2,101.2,100.5
95,"    State and local",2901.7,2769.0,2846.9,2870.5,2942.3,3020.9,3107.7,3163.6,3250.6,3364.4,3404.8,3457.2
96,"        General government",2542.5,2463.8,2513.6,2530.4,2589.2,2647.6,2717.3,2765.7,2839.0,2936.2,2970.1,3010.8
97,"        Government enterprises",359.2,305.2,333.3,340.0,353.1,373.3,390.4,398.0,411.7,428.2,434.7,446.5
,"    Addenda:",,,,,,,,,,,,
98,"            Private goods-producing industries1",8580.9,7442.5,8167.0,8454.8,8892.7,9263.7,9586.3,10008.2,10459.9,11007.9,11022.0,10933.4
99,"            Private services-producing industries2",24830.8,22484.9,24420.3,25191.3,26114.1,27178.5,27995.9,28709.4,29448.5,30149.0,30653.6,30849.3
100,"            Information-communications-technology-producing industries3",---,---,---,---,---,---,---,---,---,---,---,---

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
