state_name,TJLI,fips,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,lifeQualityRank_21,healthCareRank_21,educationRank_21,economyRank_21,infrastructureRank_21,oppurtunityRank_21,fiscalStabilityRank_21,crimeAndCorrectionsRank_21,naturalEnvironmentRank_21,lifeQualityRank_18,healthCareRank_18,educationRank_18,economyRank_18,oppurtunityRank_18,infrastructureRank_18,crimeAndCorrectionsRank_18,fiscalStabilityRank_18,naturalEnvironmentRank_18,iso_3166_2,JLP
Mississippi,11785,28,63.07084,2959473,2960075,2961279,2961879,2967297,-2e-4,-602,-0.00264,49,50,43,49,48,44,41,33,22,49,50,46,48,49,49,18,45,6,MS,0.003979699312357937
Missouri,53063,29,90.26083,6204710,6188111,6154913,6138318,5988927,0.00268,16599,0.03603,28,42,30,23,27,4,15,45,21,30,39,25,33,21,20,45,10,15,MO,0.008621242899777786
Montana,6849,30,7.64479,1112668,1103187,1084225,1074744,989415,0.00859,9481,0.12457,33,36,32,19,13,35,19,34,24,27,26,22,26,37,34,36,12,13,MT,0.006316954506675275
Nebraska,9974,31,26.06024,2002052,1988536,1961504,1947985,1826341,0.0068,13516,0.09621,6,28,9,20,6,10,17,31,6,7,19,9,21,13,9,20,11,14,NE,0.005084873647976247
Nevada,74979,32,29.38425,3225832,3185426,3104614,3064205,2700551,0.01268,40406,0.19451,37,39,40,6,1,47,27,36,50,34,35,44,12,19,5,44,38,43,NV,0.024150828412163317
New Hampshire,17518,33,155.9083,1395847,1389741,1377529,1371424,1316470,0.00439,6106,0.0603,4,13,13,11,34,3,33,1,2,5,13,4,11,1,37,2,26,4,NH,0.012716973653549218
New Jersey,155983,34,1283.40005,9438124,9388414,9288994,9239284,8791894,0.00529,49710,0.0735,19,4,1,33,41,19,49,5,33,19,12,2,41,10,28,3,49,49,NJ,0.01679223821223267
New Mexico,28896,35,17.60148,2135024,2129190,2117522,2111685,2059179,0.00274,5834,0.03683,48,33,50,44,45,49,35,47,31,48,31,50,46,44,47,49,44,8,NM,0.013646139213665785
New York,528309,36,433.90472,20448194,20365879,20201249,20118937,19378102,0.00404,82315,0.05522,21,7,16,43,30,46,20,11,5,25,15,23,35,43,19,11,28,37,NY,0.026152293850741606
North Carolina,75751,37,220.30026,10710558,10620168,10439388,10348993,9535483,0.00851,90390,0.12323,13,30,7,17,22,28,7,20,27,23,37,16,18,40,24,22,6,34,NC,0.007256268279328252
North Dakota,8131,38,11.75409,811044,800394,779094,768441,672591,0.01331,10650,0.20585,14,27,25,32,4,23,16,18,8,4,14,10,19,17,2,24,2,1,ND,0.010436481348848791
Ohio,155757,39,290.70091,11878330,11852036,11799448,11773150,11536504,0.00222,26294,0.02963,36,37,31,34,29,6,24,32,44,40,36,41,32,25,23,19,37,40,OH,0.013200363271230994
Oklahoma,24908,40,58.63041,4021753,4000953,3959353,3938551,3751351,0.0052,20800,0.07208,43,48,42,37,21,26,25,44,34,43,48,39,36,38,31,34,22,17,OK,0.00629092682567076
Oregon,68372,41,45.41307,4359110,4318492,4237256,4196636,3831074,0.00941,40618,0.13783,22,17,35,14,2,31,13,40,42,16,20,33,6,32,3,21,30,18,OR,0.01613591437477462
Pennsylvania,234492,42,292.62222,13092796,13062764,13002700,12972667,12702379,0.0023,30032,0.03074,40,19,37,42,44,11,47,17,38,38,23,38,34,16,29,27,42,44,PA,0.018034100609873333
Rhode Island,22083,44,1074.29594,1110822,1106341,1097379,1092896,1052567,0.00405,4481,0.05535,34,9,39,28,49,32,44,7,7,28,8,27,29,34,48,13,33,23,RI,0.020123403126905106
South Carolina,36632,45,175.18855,5266343,5217037,5118425,5069118,4625364,0.00945,49306,0.13858,42,34,44,18,36,38,31,46,26,42,41,48,15,39,33,41,18,30,SC,0.007156889082090682
South Dakota,2276,46,11.98261,908414,901165,886667,879421,814180,0.00804,7249,0.11574,15,29,19,30,14,27,2,35,3,14,21,17,28,24,7,40,4,5,SD,0.002566916328226944
Tennessee,44049,47,171.70515,7080262,7023788,6910840,6854371,6346105,0.00804,56474,0.11569,29,40,33,16,17,21,3,42,39,26,43,28,13,31,15,43,5,28,TN,0.0063738995549021535
Texas,156733,48,116.16298,30345487,29945493,29145505,28745507,25145561,0.01336,399994,0.20679,31,31,34,9,16,39,10,37,40,36,38,37,8,47,21,26,17,46,TX,0.005377604539705179
Utah,-14108,49,41.66892,3423935,3373162,3271616,3220842,2763885,0.01505,50773,0.23881,3,11,10,1,5,30,5,8,47,3,10,3,2,35,8,14,1,22,UT,-0.004312242023513762
Vermont,9012,50,70.33514,648279,646545,643077,641347,625741,0.00268,1734,0.03602,11,18,15,25,12,17,37,3,9,9,6,8,31,6,35,7,16,26,VT,0.014013873921785417
Virginia,115175,51,223.36045,8820504,8757467,8631393,8568357,8001024,0.0072,63037,0.10242,7,12,12,13,39,8,18,9,19,20,29,12,30,9,39,4,14,41,VA,0.013343732581751288
Washington,56214,53,120.37292,7999503,7901429,7705281,7607206,6724540,0.01241,98074,0.1896,1,8,4,4,3,25,6,19,15,6,2,6,3,27,4,39,27,21,WA,0.007295515893580001
West Virginia,17531,54,73.88019,1775932,1781860,1793716,1799642,1852994,-0.00333,-5928,-0.04159,47,47,45,48,50,18,28,23,36,47,44,45,49,23,50,31,36,45,WV,0.009773565045971603
Wisconsin,73626,55,109.96966,5955737,5935064,5893718,5873043,5686986,0.00348,20673,0.04726,8,15,8,26,24,9,9,25,17,11,17,18,27,8,26,23,19,3,WI,0.012492284157470716
Wyoming,7081,56,5.98207,580817,579495,576851,575524,563626,0.00228,1322,0.0305,35,38,21,45,8,42,34,21,13,21,33,15,47,15,36,12,9,11,WY,0.012275266923347624
